GO,n_genes,mean_clip_enrichment,mean_expr_change,clip_p,expr_p,TERM,ontology,clip_fdr,expr_fdr,combined_fdr,neglog10_fdr
GO:0006412,257,1.5502061685324942,-0.030157028036430476,2.5063495744617525e-21,5.871315948378623e-7,translation,BP,5.9901754829635884e-18,7.795802842569394e-5,5.9901754829635884e-18,17.222560454711452
GO:0051321,130,0.4995427005133072,-0.19679247386592844,0.12835533715252015,6.179966688740347e-21,meiotic cell cycle,BP,0.4004820571730067,1.477012038608943e-17,1.477012038608943e-17,16.83061596489108
GO:0002181,109,2.5104192121441264,-0.058558360549477176,3.7142162448112356e-20,7.38584527808591e-5,cytoplasmic translation,BP,4.438488412549427e-17,0.0032689204101158005,4.438488412549427e-17,16.352764909583936
GO:0007283,382,0.4760949692032525,-0.07019515839623483,0.010899281652953096,4.553340679940028e-18,spermatogenesis,BP,0.10948129094685263,5.4412421125283336e-15,5.4412421125283336e-15,14.264301949375167
GO:0006325,356,1.0148697894128695,0.01770967907794897,1.8460854192806186e-16,0.7693796207541396,chromatin organization,BP,1.1030360380201697e-13,0.9096522437153507,1.1030360380201697e-13,12.957410298205664
GO:0006281,372,0.970914003189681,-0.014081859334516014,3.2819935421688935e-16,1.5461955980173432e-6,DNA repair,BP,1.5687929131567312e-13,1.5705428905235383e-4,1.5687929131567312e-13,12.804434381211689
GO:0140236,41,3.7486642091684854,-0.18200929254082765,4.763239459619699e-16,2.8200155393960807e-7,translation at presynapse,BP,1.6263060440701545e-13,4.814169385111881e-5,1.6263060440701545e-13,12.788797723967008
GO:0140242,42,3.6848276526255725,-0.17740815057002843,4.67298105316515e-16,3.3037798214812606e-7,translation at postsynapse,BP,1.6263060440701545e-13,5.264022515560142e-5,1.6263060440701545e-13,12.788797723967008
GO:0006338,268,1.016134305462761,0.029144748496312285,2.760377639602636e-14,0.28832858198887934,chromatin remodeling,BP,8.246628198312876e-12,0.5904929828221265,8.246628198312876e-12,11.083723585291485
GO:0007129,30,0.2894574579911909,-0.38774369170004386,0.8223006869366287,5.240661057280591e-13,homologous chromosome pairing at meiosis,BP,0.9480456545000207,4.1750599756335376e-10,4.1750599756335376e-10,9.37933728140203
GO:0006397,346,0.8517481624761603,0.016658734407985976,1.0308686198981224e-11,0.13308185265485462,mRNA processing,BP,2.7375288906183473e-9,0.4072543250257395,2.7375288906183473e-9,8.562641288783817
GO:0006364,149,1.3041444090100323,-0.018645479362071036,6.388040031875188e-11,0.04587608338668365,rRNA processing,BP,1.52674156761817e-8,0.23229626969104641,1.52674156761817e-8,7.8162344699874176
GO:0006260,109,1.192333549923687,-0.019862742548577277,1.4187101892825147e-9,0.007745235594344164,DNA replication,BP,3.082470320350191e-7,0.08452563045882443,3.082470320350191e-7,6.5111010963283995
GO:0098609,135,-0.27303053168086044,0.10307629977890893,2.1436812571902164e-4,8.072657750443797e-10,cell-cell adhesion,BP,0.00948777445311966,4.823413005890169e-7,4.823413005890169e-7,6.316645549917276
GO:0008380,268,0.8520389917192649,0.022044931057102653,2.464892917321013e-9,0.5104271754333536,RNA splicing,BP,4.909245060331017e-7,0.7653205453486293,4.909245060331017e-7,6.308985288190801
GO:0007155,332,-0.16308626511385943,0.07554241018007488,3.71090939966175e-6,1.1783808670808287e-9,cell adhesion,BP,3.8561188979093836e-4,5.632660544646361e-7,5.632660544646361e-7,6.249286420969359
GO:0007186,173,-0.3836093568635552,0.04346141693825566,8.519107521945563e-9,0.02758793735996427,G protein-coupled receptor signaling pathway,BP,1.5662051521115303e-6,0.17443166743469474,1.5662051521115303e-6,5.8051513517324125
GO:0001649,74,-0.2150581551832358,0.14444635662871153,0.029141543928445087,4.73283685744921e-9,osteoblast differentiation,BP,0.18967457330138537,1.885246681550602e-6,1.885246681550602e-6,5.724631814993014
GO:0007286,99,0.18593252538396707,-0.09954221205696372,0.3338235961459366,5.766354567289957e-9,spermatid development,BP,0.6343259084116858,1.9467183492773024e-6,1.9467183492773024e-6,5.710696877551787
GO:0000398,137,1.0542631974655867,0.01765635677603911,2.3793859786580265e-8,0.4666206559982212,"mRNA splicing, via spliceosome",BP,4.061951777851917e-6,0.7386199118165379,4.061951777851917e-6,5.391265236701062
GO:0007131,25,0.7521250344088156,-0.2733047570932749,0.16374112883238565,1.7886226579879032e-8,reciprocal meiotic recombination,BP,0.44939623581027766,4.749786836212321e-6,4.749786836212321e-6,5.32332588046651
GO:0001568,70,-0.13876415451591265,0.14215441851933402,0.0335300360047182,3.43024714760995e-8,blood vessel development,BP,0.2064424484486825,8.19829068278778e-6,8.19829068278778e-6,5.086276687179234
GO:0006310,82,1.2807454963520224,-0.015556608968128445,5.969532191280726e-8,0.018180373489374846,DNA recombination,BP,9.511454624773958e-6,0.1370696928694192,9.511454624773958e-6,5.0217530595922195
GO:1990918,12,0.008522525506590817,-0.4766478851366329,0.7188767471265392,4.8384205940623114e-8,double-strand break repair involved in meiotic recombination,BP,0.8967042639357772,1.0512568381644476e-5,1.0512568381644476e-5,4.97829116620718
GO:0051301,354,0.7451059126658875,-0.0015385258222907776,8.360832250025314e-8,0.014647206336757744,cell division,BP,1.2488993173475313e-5,0.12201216822688149,1.2488993173475313e-5,4.903472571780285
GO:0030198,108,-0.6022105479266514,0.09988376207932236,8.960006172757837e-8,1.8871650830213346e-6,extracellular matrix organization,BP,1.2596714560524254e-5,1.6704905734892555e-4,1.2596714560524254e-5,4.899742711572281
